name,price,"detail (manuf, quantity)",id
Hamburgare Av Högrev,199.83 kr/kg,"GARANT, 300G, Sverige",7340045507663
"Kycklingvingar, Fryst",36.95 kr/kg,"GARANT, 1KG",7340083462221
Kycklingben,59.95 kr/kg,"GARANT, CA900G, Sverige",2359769300004
Flankstek,269.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000430000005
Blandfärs 20%,99.95 kr/kg,"GARANT, CA 1.0KG, Sverige",2355021900005
Fläskschnitzel Storpack,105.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000413200002
"Kycklingöverlår, Fryst",29.69 kr/kg,"ELDORADO, 1,75KG",7340083444128
Pulled Pork,139.89 kr/kg,"TULIP, 450G, Sverige",5707196299243
Kycklingminutfilé,124.92 kr/kg,"KRONFÅGEL, 600G, Sverige",7300328530009
"Kycklingnuggets, Fryst",96.19 kr/kg,"KRONFÅGEL, 800G",7300323185006
Benfria Fläskkarrékotletter Storpack,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000408700005
Ryggbiff I Bit,369.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000426200006
"Kycklingburgare Krispig, Fryst",158.98 kr/kg,"KRONFÅGEL, 440G",7300321373009
Pulled Turkey,155.44 kr/kg,"TULIP, 450G, Tyskland",5707196330212
Fläskgrytbitar Av Bog,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000413000008
Majskycklingfilé,175.00 kr/kg,"GARANT, CA 750G, Sverige",2307983900005
"Kycklinglårfilé, Fryst",92.79 kr/kg,"ELDORADO, 700G",7340083490163
Oxstroganoff Storpack,159.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000425800009
Sidfläsk Skivat Storpack,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000411100007
"Kycklinglever, Fryst",67.90 kr/kg,"KRONFÅGEL, 500G",7300327138008
Kickin' Ribs,154.64 kr/kg,"TEXAS LONGHORN, 420G",7330836311166
Kycklingbröstfilé,139.00 kr/kg,"GARANT, CA850G, Sverige",2359634700007
"Stekt Kycklingkebab, Fryst",158.25 kr/kg,"KRONFÅGEL, 600G",7300321271008
Kotlettschnitzel,99.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000411500005
Oxfilé I Skivor,549.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA400G",2000430400003
"Kycklingfilé Delad, Fryst",91.19 kr/kg,"ELDORADO, 800G",7340083488467
Hamburgare Nöt & Grönt,132.52 kr/kg,"GARANT, 226G",7311043007950
Kycklinglår,74.95 kr/kg,"GARANT, CA900G, Sverige",2359769200007
Benfri Fläskkotlett I Bit Storpack,94.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA2KG",2000406500003
"Kycklingpinnar, Fryst",132.38 kr/kg,"KRONFÅGEL, 400G",7300323182005
Ryggbiff Skivat Storpack,375.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000426400000
Pepparbiff,249.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2091248000004
"Kycklingköttbullar, Fryst",98.25 kr/kg,"KRONFÅGEL, 600G",7300327552002
Benfria Fläskkarrékotletter,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000408600008
Kycklingklubbfilé,129.00 kr/kg,"GARANT, CA850G, Sverige",2359769100000
"Kycklingnuggets, Fryst",158.98 kr/kg,"KRONFÅGEL, 440G",7300321372002
Oxfilé Mittbit,569.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000421100004
Grytbitar Av Bog Storpack,105.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000417000004
Minutkyckling Stekt/Tärnad,234.75 kr/kg,"KRONFÅGEL, 200G, Sverige",7300324051003
"Kalkonfärs, Fryst",119.90 kr/kg,"INGELSTA KALKON, 500G",7331044081001
Kycklingbröstfilé,169.00 kr/kg,"GARANT, CA400G, Sverige",2359773400004
Kotletter Med Ben Storpack,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000404400008
"Delifresh Kycklingburgare, Fryst",174.88 kr/kg,"KRONFÅGEL, 400G",7300321374006
Nötstek Av Bog,125.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1KG",2000429000009
Vitlöksbiff,259.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2091248100001
Kycklingpanna Stinas Original,69.95 kr/kg,"KRONFÅGEL, 1,1KG",7300321505004
Fjärilskotletter,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000405100006
Kycklingfilé Tunnskivad,149.00 kr/kg,"GULDFÅGELN, CA700G, Sverige",2307111100000
"Kalkonköttbullar, Fryst",159.88 kr/kg,"INGELSTA KALKON, 400G",7331044060501
Rostas I Bit,289.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000424300005
Marinerad Fläskytterfilé,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2091249400001
Styckmästarlåda Fläsk,125.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,8KG",2000413700007
"Kycklingvingar Utan Vingspets, Fryst",39.95 kr/kg,"GULDFÅGELN, 1KG",7313940014246
Kycklinglever,55.44 kr/kg,"KRONFÅGEL, 450G, Sverige",7300327771007
Sjömansbiff,159.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000424500009
"Kycklingspett Soja, Fryst",179.33 kr/kg,"SPICEFIELD, 1,5KG",7611612121378
Skinksnitzel Storpack,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000400800000
Plommonspäckad Fläskstek,99.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2091248500009
"Kycklingspett Teriyaki, Fryst",179.33 kr/kg,"SPICEFIELD, 1,5KG",7611612121354
Färsk Hel Kyckling,61.95 kr/kg,"GULDFÅGELN, CA1,35KG, Sverige",2307394100001
Fjärilskotletter Storpack,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000405200003
Oxfilé Halv,529.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA850G",2000423800001
"Kycklingkebab, Fryst",99.60 kr/kg,"GASTRINO, 2,5KG",7340083492310
Minutkyckling Stekt/Skivad Classic,234.75 kr/kg,"KRONFÅGEL, 200G, Sverige",7300324052000
Skinkgrytbitar,139.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000401300004
"Salladskyckling Kryddad, Fryst",139.60 kr/kg,"KITCHEN JOY, 2,5KG",8855702000894
Kycklinghjärta,55.44 kr/kg,"KRONFÅGEL, 450G, Sverige",7300327773001
Oxfilé I Bit,539.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA400G",2000430300006
"Kycklingspett Satay, Fryst",179.33 kr/kg,"SPICEFIELD, 1,5KG",7611612121361
Skinkbiffar,139.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000401100000
Pulled Chicken,139.89 kr/kg,"TULIP, 450G, Tyskland",5707196221008
"Kycklingnuggets, Fryst",52.50 kr/kg,"GASTRINO, 2KG",7311043011360
Kycklingsteak,109.00 kr/kg,"KRONFÅGEL, CA900G, Sverige",2332818400009
Oxbiffar,215.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000420100005
Spareribs,99.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1KG",2000410200005
"Kycklingklubbor, Fryst",39.95 kr/kg,"GULDFÅGELN, 1KG",7313940531002
Spareribs,165.90 kr/kg,"TULIP, 500G, Germany",5707196263602
Kycklingbröstfilé Marinerad/Strimlad,158.25 kr/kg,"GULDFÅGELN, 600G, Sverige",7313940012921
"Kycklingfilé, Fryst",127.78 kr/kg,"LINDSTRÖMS, 900G",7350004661824
Fläskkotletter Med Ben I Skivor,115.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000404300001
Minutbiff Av Fransyska,179.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA400G",2000427400009
"Majskyckling Bröstfilé, Fryst",169.00 kr/kg,"GULDFÅGELN, 1KG",7313940522901
Grillad Skivad Kycklingbröstfilé,224.75 kr/kg,"GULDFÅGELN, 200G, Sverige",7313940027062
Skinkinnanlår Skivat,139.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000400900007
Kycklinglårfilé Strimlad,158.25 kr/kg,"GULDFÅGELN, 600G, Sverige",7313940012600
"Kycklingvingar, Fryst",39.95 kr/kg,"GULDFÅGELN, 1KG",7313940014130
Innanlårstek,205.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000421800003
Karrékotletter Med Ben,119.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000408200000
"Kycklingklubbor, Fryst",39.48 kr/kg,"GULDFÅGELN, 2KG",7313940531026
Pulled Beef,193.22 kr/kg,"GARANT, 450G, Sverige",7340083437571
Kycklinglår,77.95 kr/kg,"KRONFÅGEL, CA 900G, Sverige",2332784700004
"Kycklingvingar, Fryst",39.48 kr/kg,"GULDFÅGELN, 2KG",7313940014154
